t,H,observed_EL,theory_EL
1.155,256,57.03994970370553,56.697990249735355
1.17,256,55.693721614677806,55.34530645945472
1.185,256,54.36492371665245,54.01019450577262
1.2,256,53.05436047361765,52.69347203978839
1.2149999999999999,256,51.76275737031137,51.39587789616887
1.23,256,50.49076255210606,50.118073692639484
1.2449999999999999,256,49.23894885613747,48.86064581443226
1.26,256,48.007816178959885,47.62410772940353
1.275,256,46.79779412747337,46.40890258124149
1.29,256,45.60924490197593,45.21540601053633
1.305,256,44.442466362818955,44.043929156352235
1.3199999999999998,256,43.29769523517513,42.894721794181294
1.335,256,42.17511040976176,41.76797556966545
1.3499999999999999,256,41.07483630091165,40.66382729112944
1.365,256,39.99694622707098,39.58236224768912
1.38,256,38.94146578256315,38.523617523404354
1.395,256,37.90837617323183,37.48758528156631
1.41,256,36.89761749231461,36.47421599669926
1.425,256,35.90909191655443,35.48342161516776
1.44,256,34.94266680608814,34.515078628390214
1.4549999999999998,256,33.99817769501879,33.5690310455404
1.47,256,33.07543116274519,32.64509325526399
1.4849999999999999,256,32.17420757905289,31.743052768337975
1.5,256,31.294263718633175,30.862672835359007
1.515,256,30.435335243065996,30.003694935466513
1.53,256,29.59713905035468,29.165841133798565
1.545,256,28.77937549382236,28.348816306851077
1.56,256,27.98173047356484,27.552310236179366
1.575,256,27.203877404704777,26.775999571961947
1.5899999999999999,256,26.44547906741886,26.01954966885009
1.605,256,25.706189344133694,25.28261629727359
1.6199999999999999,256,24.985654849436145,24.56484723397783
1.635,256,24.283516458155503,23.865883736041624
1.65,256,23.599410736788656,23.185361902988035
1.665,256,22.93297128300042,22.52291393186499
1.68,256,22.283829977384215,21.878169270346362
1.6949999999999998,256,21.65161815105774,21.25075567300803
1.71,256,21.035967672036925,20.64030016596928
1.7249999999999999,256,20.436511952714817,20.04642992507536
1.74,256,19.85288688020359,19.468773072733924
1.755,256,19.284731670801015,18.906959398420767
1.77,256,18.731689649436447,18.360621007741614
1.785,256,18.193408954647758,17.82939290478332
1.7999999999999998,256,17.66954316944393,17.312913512319668
1.815,256,17.159751878319447,16.81082513425011
1.8299999999999998,256,16.6637011507016,16.322774364457374
1.845,256,16.181063951222278,15.848412446070995
1.8599999999999999,256,15.711520477402676,15.387395584919574
1.875,256,15.25475842561046,14.939385220751703
1.89,256,14.810473186482827,14.504048259604858
1.905,256,14.378367971393008,14.081057270501148
1.92,256,13.958153871960388,13.6700906494559
1.9349999999999998,256,13.549549855054273,13.270832753596054
1.95,256,13.152282696207145,12.88297400800353
1.9649999999999999,256,12.766086854825478,12.506210987723406
1.98,256,12.390704295054803,12.14024647720936
1.9949999999999999,256,12.025884256611828,11.784789509318728
2.01,256,11.671382980331884,11.43955538581882
2.025,256,11.326963393586633,11.104265681219601
2.04,256,10.992394761097499,10.778648231615847
2.0549999999999997,256,10.667452306997829,10.462437110089326
2.07,256,10.35191681427458,10.155372590104946
2.085,256,10.045574207941893,9.857201098218724
2.1,256,9.748215128458071,9.567675157312294
2.1149999999999998,256,9.459634501987,9.286553321466329
2.13,256,9.179631114119065,9.013600103497367
2.145,256,8.908007193596701,8.74858589609174
2.16,256,8.644568012429598,8.491286887394438
2.175,256,8.389121508525989,8.241484971833486
2.19,256,8.141477936603035,7.998967656893285
2.205,256,7.9014495526653805,7.7635279664855545
2.2199999999999998,256,7.668850336752733,7.53496434150793
2.235,256,7.443495757954857,7.313080538125959
2.25,256,7.225202584878774,7.097685524262019
2.265,256,7.013788743837329,6.888593374732039
2.28,256,6.8090732260245765,6.685623165423053
2.295,256,6.610876043872212,6.488598866869978
2.31,256,6.419018235668591,6.297349237551046
2.3249999999999997,256,6.233321916399525,6.111707717188111
2.34,256,6.053610371674008,5.931512320309849
2.355,256,5.879708190567108,5.756605530304768
2.37,256,5.711441432286271,5.586834194168347
2.385,256,5.54863782078462,5.422049418122654
2.4,256,5.391126960840525,5.2621064642680295
2.415,256,5.238740568725764,5.106864648404368
2.4299999999999997,256,5.0913127104162035,4.9561872391438015
2.445,256,4.94868004037084,4.809941358419252
2.46,256,4.810682034218205,4.667997883479302
2.475,256,4.6771612092333985,4.530231350445675
2.4899999999999998,256,4.547963327243052,4.396519859498213
2.505,256,4.42293757552787,4.2667449817416525
2.52,256,4.30193672236257,4.140791667796236
2.5349999999999997,256,4.184817244993957,4.018548158149528
2.55,256,4.07143942905766,3.899905895293429
2.565,256,3.9616674396193168,3.7847594376675033
2.58,256,3.8553693651441536,3.67300637542111
2.5949999999999998,256,3.7524172367009903,3.5645472480012472
2.61,256,3.65268702554993,3.4592854635677526
2.625,256,3.556058622912802,3.3571272202329396
2.6399999999999997,256,3.46241580615692,3.257981429119127
2.655,256,3.3716461958219854,3.1617596392229643
2.67,256,3.283641207884426,3.068375964071592
2.685,256,3.198296005391423,2.977747010155653
2.6999999999999997,256,3.115509453127464,2.889791807118087
2.715,256,3.035184078327318,2.8044317396779945
2.73,256,2.9572260396566588,2.7215904812652667
2.745,256,2.88154510578637,2.641193929341952
2.76,256,2.8080546439336094,2.563170142382475
2.775,256,2.736671617778339,2.4874492784867783
2.79,256,2.667316593233659,2.4139635355950873
2.8049999999999997,256,2.5999137496950593,2.342647093277904
2.82,256,2.534390893656223,2.273436056068576
2.835,256,2.470679470990553,2.2062683983091063
2.85,256,2.408714573784362,2.1410839104780592
2.8649999999999998,256,2.3484349373887543,2.0778241469689362
2.88,256,2.2897829233433695,2.0164323752881614
2.895,256,2.232704484019288,1.9568535266410407
2.9099999999999997,256,2.1771491052249665,1.8990341478742607
2.925,256,2.123069723604929,1.842922354743564
2.94,256,2.0704226164152777,1.7884677864762324
2.955,256,2.0191672621554217,1.7356215615963748
2.9699999999999998,256,1.9692661715382256,1.684336234983249
2.985,256,1.9206846893525915,1.6345657561326163
3.0,256,1.8733907688710858,1.586265428589897
0.0,128,126.74420366075194,126.7296
0.015,128,126.66838663337123,126.65290794552415
0.03,128,126.58810916938285,126.57170480138988
0.045,128,126.50312327481365,126.48573985996963
0.06,128,126.41316893686232,126.39475027624613
0.075,128,126.31797376051134,126.29846070261462
0.09,128,126.21725262328034,126.19658294228375
0.105,128,126.11070735304824,126.08881562628011
0.12,128,125.99802643443144,125.97484391962915
0.135,128,125.87888474979852,125.8543392628858
0.15,128,125.75294336162332,125.72695915581721
0.16499999999999998,128,125.61984934352407,125.59234699069431
0.18,128,125.47923566800162,125.45013194332194
0.195,128,125.33072115956632,125.29992893062122
0.21,128,125.17391052262052,125.14133864426408
